Name,NumOps,EC_Attr,EC_Par,IC_Par,Assoc,NumDirClients,NumIndClients,NumAnc,NumDesc,Diags
EA_Model.Model.Class Model.com.boardgamegeek.ui.PlaysFragment.Callbacks,3,2,0,0,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.PlaysFragment.GameQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.PlaysFragment.PlaysQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.PlaysFragment.SumQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.PollFragment.Query,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.ProducerFragment.ArtistQuery,0,0,0,0,0,0,0,1,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.ProducerFragment.DesignerQuery,0,0,0,0,0,0,0,1,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.ProducerFragment.PublisherQuery,0,0,0,0,0,0,0,1,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.ProducerFragment.Query,0,0,0,0,0,0,0,0,3,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.SearchResultsFragment.Callbacks,2,2,0,0,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.widget.RangeSeekBar.OnRangeSeekBarChangeListener,1,0,0,0,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.util.DetachableResultReceiver.Receiver,1,1,1,0,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.util.actionmodecompat.ActionMode.Callback,4,1,4,7,1,0,0,0,1,0
EA_Model.Model.Class Model.com.boardgamegeek.util.actionmodecompat.MultiChoiceModeListener,1,0,4,1,0,0,0,1,0,0
EA_Model.Model.Class Model.com.mobeta.android.dslv.DragSortListView.DragListener,1,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.mobeta.android.dslv.DragSortListView.DragScrollProfile,1,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.mobeta.android.dslv.DragSortListView.DragSortListener,0,0,0,0,0,0,0,3,0,0
EA_Model.Model.Class Model.com.mobeta.android.dslv.DragSortListView.DropListener,1,0,0,0,0,0,0,0,0,0
