word,inDoc,totalInDoc,ArgoUML,gwt_portlet,JavaClient,JGAP,Mars,Neuroph,JPMC,xUML,Maze,Wro4J,Junit
power,2,32,0,0,11,0,21,0,0,0,0,0,0
pow,1,1,0,0,0,1,0,0,0,0,0,0,0
potenti,1,1,0,0,0,0,0,0,0,0,0,0,1
possibl,1,1,0,0,0,0,0,0,0,0,0,0,1
posit,3,52,1,1,50,0,0,0,0,0,0,0,0
pose,1,5,0,0,5,0,0,0,0,0,0,0,0
portlet,1,22,0,22,0,0,0,0,0,0,0,0,0
portfolio,1,9,0,0,0,0,0,0,9,0,0,0,0
port,1,1,1,0,0,0,0,0,0,0,0,0,0
popup,1,1,0,1,0,0,0,0,0,0,0,0,0
popul,3,7,0,0,0,4,1,0,2,0,0,0,0
pop,1,1,0,0,0,1,0,0,0,0,0,0,0
pool,1,2,0,0,0,2,0,0,0,0,0,0,0
poli,1,1,1,0,0,0,0,0,0,0,0,0,0
point,4,10,5,0,2,0,2,0,0,0,0,0,1
po,1,3,0,0,3,0,0,0,0,0,0,0,0
plugin,2,4,0,0,0,1,0,3,0,0,0,0,0
plot,1,14,0,0,0,0,0,0,14,0,0,0,0
player,2,153,0,0,152,0,1,0,0,0,0,0,0
planner,1,5,0,0,5,0,0,0,0,0,0,0,0
placehold,1,2,0,2,0,0,0,0,0,0,0,0,0
piec,1,12,12,0,0,0,0,0,0,0,0,0,0
pie,2,3,0,0,0,0,2,0,1,0,0,0,0
pid,1,7,0,0,7,0,0,0,0,0,0,0,0
pi,1,1,0,0,1,0,0,0,0,0,0,0,0
physicist,1,1,0,0,0,0,1,0,0,0,0,0,0
physic,1,1,0,0,0,0,1,0,0,0,0,0,0
phase,1,8,0,0,0,0,8,0,0,0,0,0,0
pgml,1,1,1,0,0,0,0,0,0,0,0,0,0
perspect,1,2,2,0,0,0,0,0,0,0,0,0,0
person,1,22,0,0,0,0,22,0,0,0,0,0,0
persist,1,3,0,0,0,0,0,0,0,3,0,0,0
permut,1,1,0,0,0,1,0,0,0,0,0,0,0
perform,1,5,0,0,0,0,5,0,0,0,0,0,0
perf,1,3,0,3,0,0,0,0,0,0,0,0,0
perceptron,1,6,0,0,0,0,0,6,0,0,0,0,0
percentag,1,2,0,0,0,0,2,0,0,0,0,0,0
percent,1,2,0,0,0,0,2,0,0,0,0,0,0
peopl,1,3,0,0,0,0,3,0,0,0,0,0,0
peg,1,3,0,0,0,0,0,0,0,0,3,0,0
peer,1,1,0,0,0,0,1,0,0,0,0,0,0
pd,2,2,0,0,1,0,1,0,0,0,0,0,0
pattern,1,1,1,0,0,0,0,0,0,0,0,0,0
path,1,1,0,0,0,0,0,0,0,0,1,0,0
particl,1,2,0,0,2,0,0,0,0,0,0,0,0
parti,1,1,1,0,0,0,0,0,0,0,0,0,0
part,1,35,0,0,0,0,35,0,0,0,0,0,0
parser,3,10,8,0,0,0,0,1,0,0,0,0,1
pars,2,3,2,0,0,0,0,0,0,0,0,0,1
parent,2,2,1,0,0,0,0,0,0,0,0,0,1
parameter,1,2,0,0,0,0,0,0,0,0,0,0,2
paramet,3,9,2,0,0,0,0,0,0,2,0,0,5
param,2,2,1,0,0,0,0,0,0,0,0,0,1
parallel,1,1,0,0,0,0,0,0,0,0,0,0,1
paper,1,1,0,0,0,0,1,0,0,0,0,0,0
panel,6,188,70,12,0,0,90,3,12,0,1,0,0
pane,2,8,6,0,0,0,2,0,0,0,0,0,0
pair,1,1,1,0,0,0,0,0,0,0,0,0,0
painter,1,3,0,0,0,0,0,0,0,0,3,0,0
paint,1,1,0,0,0,0,0,0,1,0,0,0,0
page,2,19,0,15,0,0,0,0,0,0,4,0,0
packag,3,25,8,0,0,0,10,0,0,7,0,0,0
pack,1,1,1,0,0,0,0,0,0,0,0,0,0
oxygen,1,4,0,0,0,0,4,0,0,0,0,0,0
overlap,1,1,1,0,0,0,0,0,0,0,0,0,0
overlai,1,1,0,1,0,0,0,0,0,0,0,0,0
outstar,1,3,0,0,0,0,0,3,0,0,0,0,0
output,3,4,0,0,0,0,2,1,0,0,0,1,0
outgo,1,2,2,0,0,0,0,0,0,0,0,0,0
outer,1,1,1,0,0,0,0,0,0,0,0,0,0
